dt,base_byers_price_index,key_rate,dollar_rate
2020-01-01,,,61.9057
2020-01-03,,6.25,
2020-01-06,,6.25,
2020-01-08,,6.25,
2020-01-09,,6.25,
2020-01-10,,6.25,61.234
2020-01-11,,,61.2632
2020-01-13,,6.25,
2020-01-14,,6.25,60.9474
2020-01-15,,6.25,61.414
2020-01-16,,6.25,61.4328
2020-01-17,,6.25,61.5694
2020-01-18,,,61.5333
2020-01-20,,6.25,
2020-01-21,,6.25,61.4654
2020-01-22,,6.25,61.8552
2020-01-23,,6.25,61.8343
2020-01-24,,6.25,61.9515
2020-01-25,,,61.8031
2020-01-27,,6.25,
2020-01-28,,6.25,62.338
2020-01-29,,6.25,62.8299
2020-01-30,,6.25,62.3934
2020-01-31,,6.25,63.0359
2020-02-01,,,63.1385
2020-02-03,,6.25,
2020-02-04,,6.25,63.9091
2020-02-05,,6.25,63.4342
2020-02-06,,6.25,63.1742
2020-02-07,,6.25,62.7977
2020-02-08,,,63.472
2020-02-10,,6.0,
2020-02-11,,6.0,63.7708
2020-02-12,,6.0,63.949
2020-02-13,,6.0,63.047
2020-02-14,,6.0,63.6016
2020-02-15,,,63.4536
2020-02-17,,6.0,
2020-02-18,,6.0,63.3085
2020-02-19,,6.0,63.7698
2020-02-20,,6.0,63.6873
2020-02-21,,6.0,63.7413
2020-02-22,,,64.3008
2020-02-25,,6.0,
2020-02-26,,6.0,64.9213
2020-02-27,,6.0,65.5177
2020-02-28,,6.0,65.6097
2020-02-29,,,66.9909
2020-03-02,,6.0,
2020-03-03,,6.0,66.3274
2020-03-04,,6.0,66.4437
2020-03-05,,6.0,66.0784
2020-03-06,,6.0,66.1854
2020-03-07,,,67.5175
2020-03-10,,6.0,
2020-03-11,,6.0,72.0208
2020-03-12,,6.0,71.472
2020-03-13,,6.0,74.0274
2020-03-14,,,73.1882
2020-03-16,,6.0,
2020-03-17,,6.0,74.1262
2020-03-18,,6.0,73.8896
2020-03-19,,6.0,77.2131
2020-03-20,,6.0,80.157
2020-03-21,,,78.0443
2020-03-23,,6.0,
2020-03-24,,6.0,80.8815
2020-03-25,,6.0,78.8493
2020-03-26,,6.0,77.7928
2020-03-27,,6.0,78.7223
2020-03-28,,,77.7325
2020-03-30,,6.0,
2020-03-31,,6.0,
2020-04-01,,6.0,
2020-04-02,,6.0,
2020-04-03,,6.0,
2020-04-06,,6.0,
2020-04-07,,6.0,76.4074
2020-04-08,,6.0,75.455
2020-04-09,,6.0,75.7499
2020-04-10,,6.0,74.605
2020-04-11,,,73.7515
2020-04-13,,6.0,
2020-04-14,,6.0,73.5245
2020-04-15,,6.0,73.315
2020-04-16,,6.0,73.7145
2020-04-17,,6.0,74.7119
2020-04-18,,,73.9441
2020-04-20,,6.0,
2020-04-21,,6.0,74.6657
2020-04-22,,6.0,76.2562
2020-04-23,,6.0,77.0416
2020-04-24,,6.0,75.129
2020-04-25,,,74.7163
2020-04-27,,5.5,
2020-04-28,,5.5,74.496
2020-04-29,,5.5,74.5706
2020-04-30,,5.5,73.6894
2020-05-01,,,72.7263
2020-05-04,,5.5,
2020-05-05,,5.5,
2020-05-06,,5.5,
2020-05-07,,5.5,73.9719
2020-05-08,,5.5,74.1169
